FacultyName,Course,Comments,Target,Class,Teaching Pedagogy_terms,Teaching Pedagogy_polarity,Knowledge_terms,Knowledge_polarity,Fair in Assessment_terms,Fair in Assessment_polarity,Experience_terms,Experience_polarity,Behavior_terms,Behavior_polarity
NIMRA MUGHAL ,Programming Fundamentals(Pr),.,Teacher,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),course is very good and updated,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),bestttt,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),best,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),good experince,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),Good,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),hard,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),good .,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),I thoroughly enjoyed the Programming Fundamentals (Pr)course!,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),"Sure, here is an admiring sentence for a C++ course outline:

This comprehensive C++ course outline is a testament to the instructor's deep understanding of the subject matter and their commitment to providing students with a rigorous and rewarding learning experience.

The outline's well-structured format and detailed coverage of essential concepts make it an invaluable resource for anyone seeking to master this powerful programming language",Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),Fair enough,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),this course is beneficial,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),difficult but interesting,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),Sir you are one of the great instructor whom I learn in my life. I learn the value of time from you because you always come not on time but in time in the class. I hope that it is not the end of me with you .you should always teach us in our entire degree program,Teacher,Class 5,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),Ma'am was just wow,Teacher,Class 5,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),MA'an is absolutely fabulous her teaching nice she always helps me out from program relative problems  i wish teach us in 2nd semester,Teacher,Class 5,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),"N/Ait was nice to have you , your humbleness inspired me alot , hope to see you again in another semester",Teacher,Class 5,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),.. very good,Teacher,Class 5,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),None.,Teacher,Class 5,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),Ok,Teacher,Class 5,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),n,Teacher,Class 5,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
NIMRA MUGHAL ,Programming Fundamentals(Pr),Really Talented and Good Teacher,Teacher,Class 5,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Up to date,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,We didn't learnt even we can not get that what is going on throughout the semester. That's why I can not say anything about the course,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Course is a bit challenging but its fine,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Relevant,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Course was Good,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Best,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Course was informative.,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,"It's not Worth adding in the list of 6 semester courses.  Should be limited, because the course was taught in a way that we assumed our selves as Phd scholar which was a huge burdon.",Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Course was quite interesting,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Good,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,¿course is great but it is way too boring,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Course was relevant,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,I don't like this course much,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Course is helpful for the future but is not well understandable,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Good,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Difficult and didn't understand,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
